Voucher Number,PO Number,Vendor Number,Voucher Amount,Voucher Date,Created By,Approved By
VCH-2026-0033,PO-2026-0033,V1043,2937.98,2026-05-08,E231,E119
VCH-2026-0034,PO-2026-0034,V1032,32510.54,2026-08-20,E231,E119
VCH-2026-0035,PO-2026-0035,V1035,32127.83,2026-05-31,E227,E108
VCH-2026-0036,PO-2026-0036,V1018,2338.89,2026-04-03,E211,E102
VCH-2026-0037,PO-2026-0037,V1041,24992.0,2026-10-02,E218,E115
VCH-2026-0038,PO-2026-0038,V1017,20076.43,2026-07-16,E227,E102
VCH-2026-0039,PO-2026-0039,V1034,35026.21,2026-10-03,E227,E115
VCH-2026-0040,PO-2026-0040,V1012,32520.92,2026-08-15,E231,E108
VCH-2026-0041,PO-2026-8150,V1013,15176.22,2026-05-01,E204,E119
VCH-2026-0042,PO-2026-0042,V1003,31079.58,2026-11-09,E223,E119
VCH-2026-0043,PO-2026-0043,V1006,14815.8,2026-06-13,E227,E119
VCH-2026-0044,PO-2026-0044,V1011,16793.67,2026-06-30,E231,E119
VCH-2026-0045,PO-2026-0045,V1019,20939.59,2026-11-03,E204,E108
VCH-2026-0046,PO-2026-8997,V1013,2279.83,2026-01-13,E218,E119
VCH-2026-0047,PO-2026-0047,V1001,28638.47,2026-02-09,E223,E108
VCH-2026-0048,PO-2026-0048,V1033,2483.09,2026-02-17,E211,E119
VCH-2026-0049,PO-2026-0049,V1008,26428.44,2026-02-21,E231,E231
VCH-2026-0050,PO-2026-0050,V1037,27238.1,2026-10-03,E218,E108
VCH-2026-0051,PO-2026-0051,V1035,33467.83,2026-02-09,E231,E119
VCH-2026-0052,PO-2026-0052,V1014,44804.65,2026-10-29,E218,E119
VCH-2026-0053,PO-2026-0053,V1033,18093.74,2026-05-30,E211,E115
VCH-2026-0054,PO-2026-0054,V1026,9120.99,2026-05-07,E227,E102
VCH-2026-0055,PO-2026-0055,V1029,32208.42,2026-12-05,E227,E227
VCH-2026-0056,PO-2026-0056,V1002,6038.79,2026-07-03,E227,E108
VCH-2026-0057,PO-2026-0057,V1040,36601.17,2026-11-12,E218,E115
VCH-2026-0058,PO-2026-0058,V1017,45533.42,2026-03-24,E204,E102
VCH-2026-0059,PO-2026-0059,V1033,16632.64,2026-05-14,E231,E115
VCH-2026-0060,PO-2026-8769,V1042,10008.57,2026-09-28,E204,E102
VCH-2026-0061,PO-2026-0061,V1010,5591.23,2026-04-04,E227,E102
VCH-2026-0062,PO-2026-0062,V1018,28590.49,2026-07-29,E231,E102
VCH-2026-0063,PO-2026-0063,V1037,13280.24,2026-06-04,E223,E115
VCH-2026-0064,PO-2026-0064,V1022,13303.71,2026-09-06,E227,E227
VCH-2026-0065,PO-2026-0065,V1019,38597.41,2026-05-14,E227,E119
VCH-2026-0066,PO-2026-0066,V1034,38482.68,2026-11-17,E204,E119
VCH-2026-0067,PO-2026-0067,V1042,17166.55,2026-05-04,E223,E102
VCH-2026-0068,PO-2026-0068,V1003,17653.97,2026-10-19,E227,E115
VCH-2026-0069,PO-2026-0069,V1027,10874.79,2026-02-02,E211,E119
VCH-2026-0070,PO-2026-0070,V1032,15257.88,2026-03-21,E231,E102
VCH-2026-0071,PO-2026-0071,V1022,41531.48,2026-05-04,E231,E119
VCH-2026-0072,PO-2026-0072,V1010,969.02,2026-01-24,E223,E115
VCH-2026-0073,PO-2026-0073,V1030,29087.48,2026-09-15,E218,E102
VCH-2026-0074,PO-2026-0074,V1039,15282.8,2026-04-29,E231,E119
VCH-2026-0075,PO-2026-0075,V1007,35049.04,2026-05-06,E211,E119
VCH-2026-0076,PO-2026-0076,V1013,26768.68,2026-02-22,E231,E102
VCH-2026-0077,PO-2026-0077,V1020,42092.71,2026-05-13,E204,E115
VCH-2026-0078,PO-2026-0078,V1008,25194.67,2026-08-17,E223,E108
VCH-2026-0079,PO-2026-0079,V1008,42212.37,2026-08-26,E211,E119
VCH-2026-0080,PO-2026-0080,V1010,32847.27,2026-07-21,E231,E102
VCH-2026-0081,PO-2026-0081,V1043,14027.65,2026-05-20,E223,E102
VCH-2026-0082,PO-2026-0082,V1007,44835.34,2026-01-12,E223,E115
VCH-2026-0083,PO-2026-0083,V1039,40181.74,2026-09-24,E218,E102
VCH-2026-0084,PO-2026-0084,V1006,15178.18,2026-07-30,E218,E119
VCH-2026-0085,PO-2026-0085,V1036,31963.62,2026-04-30,E204,E119
VCH-2026-0086,PO-2026-0086,V1028,6020.49,2026-03-13,E231,E115
VCH-2026-0087,PO-2026-0087,V1042,12352.27,2026-06-15,E227,E115
VCH-2026-0088,PO-2026-0088,V1039,45100.87,2026-09-08,E227,E102
VCH-2026-0089,PO-2026-0089,V1033,12363.07,2026-02-22,E223,E108
VCH-2026-0090,PO-2026-0090,V1006,26563.52,2026-09-17,E211,E102
VCH-2026-0091,PO-2026-0091,V1037,23866.21,2026-10-01,E227,E115
VCH-2026-0092,PO-2026-0092,V1030,44248.7,2026-03-10,E223,E102
VCH-2026-0093,PO-2026-0093,V1013,32766.47,2026-06-28,E204,E119
VCH-2026-0094,PO-2026-0094,V1041,18069.51,2026-04-12,E218,E108
VCH-2026-0095,PO-2026-0095,V1008,32791.83,2026-07-24,E204,E108
VCH-2026-0096,PO-2026-0096,V1009,24182.83,2026-02-03,E204,E108
VCH-2026-0097,PO-2026-0097,V1012,23543.22,2026-10-19,E218,E119
VCH-2026-0098,PO-2026-0098,V1001,36549.42,2026-07-11,E227,E108
VCH-2026-0099,PO-2026-0099,V1002,21612.05,2026-04-28,E211,E102
VCH-2026-0100,PO-2026-0100,V1038,45464.75,2026-08-25,E218,E102
VCH-2026-0101,PO-2026-0101,V1008,19773.38,2026-11-24,E231,E102
VCH-2026-0102,PO-2026-0102,V1013,8351.82,2026-08-21,E218,E102
VCH-2026-0103,PO-2026-0103,V1014,42150.76,2026-08-18,E231,E102
VCH-2026-0104,PO-2026-0104,V1025,10599.08,2026-03-04,E231,E102
VCH-2026-0105,PO-2026-0105,V1001,37569.06,2026-06-21,E218,E119
VCH-2026-0106,PO-2026-0106,V1001,24846.75,2026-06-28,E227,E102
VCH-2026-0107,PO-2026-0107,V1016,32596.21,2026-11-30,E231,E102
VCH-2026-0108,PO-2026-0108,V1003,7594.81,2026-08-26,E218,E115
VCH-2026-0109,PO-2026-0109,V1008,22956.3,2026-02-24,E204,E102
VCH-2026-0110,PO-2026-0110,V1005,31903.59,2026-10-24,E204,E119
VCH-2026-0111,PO-2026-0111,V1020,11460.52,2026-06-01,E211,E119
VCH-2026-0112,PO-2026-0112,V1031,903.13,2026-10-10,E231,E108
VCH-2026-0113,PO-2026-0113,V1030,28119.25,2026-11-27,E218,E115
VCH-2026-0114,PO-2026-0114,V1024,42800.71,2026-06-25,E223,E108
VCH-2026-0115,PO-2026-0115,V1013,26353.2,2026-07-20,E204,E102
VCH-2026-0116,PO-2026-0116,V1031,44587.96,2026-10-07,E218,E102
VCH-2026-0117,PO-2026-0117,V1022,7018.46,2026-08-02,E227,E102
VCH-2026-0118,PO-2026-0118,V1032,18960.95,2026-02-08,E223,E115
VCH-2026-0119,PO-2026-0119,V1042,9850.00,2026-09-06,E211,E108
VCH-2026-0120,PO-2026-0120,V1042,9720.00,2026-09-08,E211,E108
VCH-2026-0121,PO-2026-0121,V1042,9905.00,2026-09-10,E211,E108
VCH-2026-0122,PO-2026-0122,V1042,9640.00,2026-09-12,E211,E108
VCH-2026-0123,PO-2026-0123,V1042,9880.00,2026-09-14,E211,E108
VCH-2026-9338,PO-2026-0013,V1006,21619.99,2026-06-21,E227,E227
