GL Entry ID,Account,Reference,Amount,GL Date
GL-00070,2000,PAY-2026-0073,29087.48,2026-09-20
GL-00071,2000,PAY-2026-0074,15282.8,2026-05-28
GL-00072,2000,PAY-2026-0075,35049.04,2026-05-29
GL-00073,2000,PAY-2026-0076,26768.68,2026-03-09
GL-00074,2000,PAY-2026-0077,42092.71,2026-05-25
GL-00075,2000,PAY-2026-0078,25194.67,2026-09-07
GL-00076,2000,PAY-2026-0079,42212.37,2026-09-11
GL-00077,2000,PAY-2026-0080,32847.27,2026-08-24
GL-00078,2000,PAY-2026-0081,14027.65,2026-06-24
GL-00079,2000,PAY-2026-0082,44835.34,2026-02-06
GL-00080,2000,PAY-2026-0083,40181.74,2026-10-09
GL-00081,2000,PAY-2026-0084,15178.18,2026-08-31
GL-00082,2000,PAY-2026-0085,31963.62,2026-04-25
GL-00083,2000,PAY-2026-0086,6020.49,2026-04-19
GL-00084,2000,PAY-2026-0087,12352.27,2026-07-24
GL-00085,2000,PAY-2026-0088,45100.87,2026-09-14
GL-00086,2000,PAY-2026-0089,12363.07,2026-03-25
GL-00087,2000,PAY-2026-0090,26563.52,2026-09-28
GL-00088,2000,PAY-2026-0091,23866.21,2026-10-09
GL-00089,2000,PAY-2026-0092,44248.7,2026-04-13
GL-00090,2000,PAY-2026-0093,38664.43,2026-08-03
GL-00091,2000,PAY-2026-0094,18069.51,2026-05-22
GL-00092,2000,PAY-2026-0095,32791.83,2026-08-12
GL-00093,2000,PAY-2026-0096,24182.83,2026-03-12
GL-00094,2000,PAY-2026-0097,23543.22,2026-11-16
GL-00095,2000,PAY-2026-0098,36549.42,2026-07-21
GL-00096,2000,PAY-2026-0099,21612.05,2026-05-13
GL-00097,2000,PAY-2026-0100,45464.75,2026-09-06
GL-00098,2000,PAY-2026-0101,19773.38,2026-12-24
GL-00099,2000,PAY-2026-0102,8351.82,2026-09-02
GL-00100,2000,PAY-2026-0103,42150.76,2026-09-05
GL-00101,2000,PAY-2026-0104,10599.08,2026-04-05
GL-00102,2000,PAY-2026-0105,37569.06,2026-07-07
GL-00103,2000,PAY-2026-0106,24846.75,2026-08-01
GL-00104,2000,PAY-2026-0107,32596.21,2026-12-15
GL-00105,2000,PAY-2026-0108,7594.81,2026-09-13
GL-00106,2000,PAY-2026-0109,27088.43,2026-03-07
GL-00107,2000,PAY-2026-0110,31903.59,2026-11-08
GL-00108,2000,PAY-2026-0111,11460.52,2026-06-18
GL-00109,2000,PAY-2026-0112,903.13,2026-11-15
GL-00110,2000,PAY-2026-0113,28119.25,2026-12-08
GL-00111,2000,PAY-2026-0114,42800.71,2026-07-11
GL-00112,2000,PAY-2026-0115,26353.2,2026-08-11
GL-00113,2000,PAY-2026-0116,44587.96,2026-10-15
GL-00114,2000,PAY-2026-0117,7018.46,2026-08-27
GL-00115,2000,PAY-2026-0118,18960.95,2026-03-16
GL-00116,2000,PAY-2026-0119,9850.00,2026-09-14
GL-00117,2000,PAY-2026-0120,9720.00,2026-09-16
GL-00118,2000,PAY-2026-0121,9905.00,2026-09-18
GL-00119,2000,PAY-2026-0122,9640.00,2026-09-20
GL-00120,2000,PAY-2026-0123,9880.00,2026-09-22
