Payment Number,Voucher Number,Vendor Number,Payment Amount,Payment Date,Created By,Approved By,Check Number
PAY-2026-0061,VCH-2026-0061,V1010,5591.23,2026-04-15,E227,E102,CHK-20061
PAY-2026-0062,VCH-2026-0062,V1018,28590.49,2026-08-14,E231,E102,CHK-20062
PAY-2026-0063,VCH-2026-0063,V1037,13280.24,2026-06-25,E223,E115,CHK-20063
PAY-2026-0064,VCH-2026-0064,V1022,13303.71,2026-09-13,E227,E227,CHK-20064
PAY-2026-0065,VCH-2026-0065,V1019,38597.41,2026-06-10,E227,E119,CHK-20065
PAY-2026-0066,VCH-2026-0066,V1034,38482.68,2026-12-10,E204,E119,CHK-20066
PAY-2026-0067,VCH-2026-0067,V1042,17166.55,2026-05-10,E223,E102,CHK-20067
PAY-2026-0068,VCH-2026-0068,V1003,17653.97,2026-11-04,E227,E115,CHK-20068
PAY-2026-0069,VCH-2026-0069,V1027,10874.79,2026-02-11,E211,E119,CHK-20069
PAY-2026-0070,VCH-2026-0070,V1032,15257.88,2026-04-09,E231,E102,CHK-20070
PAY-2026-0071,VCH-2026-0071,V1022,41531.48,2026-05-17,E231,E119,CHK-20071
PAY-2026-0072,VCH-2026-0072,V1010,969.02,2026-03-03,E223,E115,CHK-20072
PAY-2026-0073,VCH-2026-0073,V1030,29087.48,2026-09-20,E218,E102,CHK-20073
PAY-2026-0074,VCH-2026-0074,V1039,15282.8,2026-05-28,E231,E119,CHK-20074
PAY-2026-0075,VCH-2026-0075,V1007,35049.04,2026-05-29,E211,E119,CHK-20075
PAY-2026-0076,VCH-2026-0076,V1013,26768.68,2026-03-09,E231,E102,CHK-20076
PAY-2026-0077,VCH-2026-0077,V1020,42092.71,2026-05-25,E204,E115,CHK-20077
PAY-2026-0078,VCH-2026-0078,V1008,25194.67,2026-09-07,E223,E108,CHK-20078
PAY-2026-0079,VCH-2026-0079,V1008,42212.37,2026-09-11,E211,E119,CHK-20079
PAY-2026-0080,VCH-2026-0080,V1010,32847.27,2026-08-24,E231,E102,CHK-20080
PAY-2026-0081,VCH-2026-0081,V1043,14027.65,2026-06-24,E223,E102,CHK-20081
PAY-2026-0082,VCH-2026-0082,V1007,44835.34,2026-02-06,E223,E115,CHK-20082
PAY-2026-0083,VCH-2026-0083,V1039,40181.74,2026-10-09,E218,E102,CHK-20083
PAY-2026-0084,VCH-2026-0084,V1006,15178.18,2026-08-31,E218,E119,CHK-20084
PAY-2026-0085,VCH-2026-0085,V1036,31963.62,2026-04-25,E204,E119,CHK-20085
PAY-2026-0086,VCH-2026-0086,V1028,6020.49,2026-04-19,E231,E115,CHK-20086
PAY-2026-0087,VCH-2026-0087,V1042,12352.27,2026-07-24,E227,E115,CHK-20087
PAY-2026-0088,VCH-2026-0088,V1039,45100.87,2026-09-14,E227,E102,CHK-20088
PAY-2026-0089,VCH-2026-0089,V1033,12363.07,2026-03-25,E223,E108,CHK-20089
PAY-2026-0090,VCH-2026-0090,V1006,26563.52,2026-09-28,E211,E102,CHK-20090
PAY-2026-0091,VCH-2026-0091,V1037,23866.21,2026-10-09,E227,E115,CHK-20091
PAY-2026-0092,VCH-2026-0092,V1030,44248.7,2026-04-13,E223,E102,CHK-20092
PAY-2026-0093,VCH-2026-0093,V1013,38664.43,2026-08-03,E204,E119,CHK-20093
PAY-2026-0094,VCH-2026-0094,V1041,18069.51,2026-05-22,E218,E108,CHK-20094
PAY-2026-0095,VCH-2026-0095,V1008,32791.83,2026-08-12,E204,E108,CHK-20095
PAY-2026-0096,VCH-2026-0096,V1009,24182.83,2026-03-12,E204,E108,CHK-20096
PAY-2026-0097,VCH-2026-0097,V1012,23543.22,2026-11-16,E218,E119,CHK-20097
PAY-2026-0098,VCH-2026-0098,V1001,36549.42,2026-07-21,E227,E108,CHK-20098
PAY-2026-0099,VCH-2026-0099,V1002,21612.05,2026-05-13,E211,E102,CHK-20099
PAY-2026-0100,VCH-2026-9382,V1038,45464.75,2026-09-06,E218,E102,CHK-20100
PAY-2026-0101,VCH-2026-0101,V1008,19773.38,2026-12-24,E231,E102,CHK-20101
PAY-2026-0102,VCH-2026-0102,V1013,8351.82,2026-09-02,E218,E102,CHK-20102
PAY-2026-0103,VCH-2026-0103,V1014,42150.76,2026-09-05,E231,E102,CHK-20103
PAY-2026-0104,VCH-2026-0104,V1025,10599.08,2026-04-05,E231,E102,CHK-20104
PAY-2026-0105,VCH-2026-0105,V1001,37569.06,2026-07-07,E218,E119,CHK-20105
PAY-2026-0106,VCH-2026-0106,V1001,24846.75,2026-08-01,E227,E102,CHK-20106
PAY-2026-0107,VCH-2026-0107,V1016,32596.21,2026-12-15,E231,E102,CHK-20107
PAY-2026-0108,VCH-2026-0108,V1003,7594.81,2026-09-13,E218,E115,CHK-20108
PAY-2026-0109,VCH-2026-0109,V1008,27088.43,2026-03-07,E204,E102,CHK-20109
PAY-2026-0110,VCH-2026-0110,V1005,31903.59,2026-11-08,E204,E119,CHK-20110
PAY-2026-0111,VCH-2026-0111,V1020,11460.52,2026-06-18,E211,E119,CHK-20111
PAY-2026-0112,VCH-2026-0112,V1031,903.13,2026-11-15,E231,E108,CHK-20112
PAY-2026-0113,VCH-2026-0113,V1030,28119.25,2026-12-08,E218,E115,CHK-20113
PAY-2026-0114,VCH-2026-0114,V1024,42800.71,2026-07-11,E223,E108,CHK-20114
PAY-2026-0115,VCH-2026-0115,V1013,26353.2,2026-08-11,E204,E102,CHK-20115
PAY-2026-0116,VCH-2026-0116,V1031,44587.96,2026-10-15,E218,E102,CHK-20116
PAY-2026-0117,VCH-2026-0117,V1022,7018.46,2026-08-27,E227,E102,CHK-20117
PAY-2026-0118,VCH-2026-0118,V1032,18960.95,2026-03-16,E223,E115,CHK-20118
PAY-2026-0119,VCH-2026-0119,V1042,9850.00,2026-09-14,E211,E108,CHK-20119
PAY-2026-0120,VCH-2026-0120,V1042,9720.00,2026-09-16,E211,E108,CHK-20120
PAY-2026-0121,VCH-2026-0121,V1042,9905.00,2026-09-18,E211,E108,CHK-20121
PAY-2026-0122,VCH-2026-0122,V1042,9640.00,2026-09-20,E211,E108,CHK-20122
PAY-2026-0123,VCH-2026-0123,V1042,9880.00,2026-09-22,E211,E108,CHK-20123
