Receipt Number,PO Number,Received Amount,Receipt Date
GRN-2026-0055,PO-2026-0055,32208.42,2026-11-28
GRN-2026-0056,PO-2026-0056,6038.79,2026-06-23
GRN-2026-0057,PO-2026-0057,36601.17,2026-11-03
GRN-2026-0058,PO-2026-0058,45533.42,2026-03-17
GRN-2026-0059,PO-2026-0059,16632.64,2026-05-12
GRN-2026-0060,PO-2026-0060,10008.57,2026-09-20
GRN-2026-0061,PO-2026-0061,5591.23,2026-04-01
GRN-2026-0062,PO-2026-0062,28590.49,2026-07-27
GRN-2026-0063,PO-2026-0063,13280.24,2026-06-04
GRN-2026-0064,PO-2026-0064,13303.71,2026-09-03
GRN-2026-0065,PO-2026-0065,38597.41,2026-05-09
GRN-2026-0066,PO-2026-0066,38482.68,2026-11-11
GRN-2026-0067,PO-2026-0067,17166.55,2026-04-27
GRN-2026-0068,PO-2026-0068,17653.97,2026-10-15
GRN-2026-0069,PO-2026-0069,10874.79,2026-01-24
GRN-2026-0070,PO-2026-0070,15257.88,2026-03-18
GRN-2026-0071,PO-2026-0071,41531.48,2026-04-29
GRN-2026-0072,PO-2026-0072,969.02,2026-01-24
GRN-2026-0073,PO-2026-0073,29087.48,2026-09-14
GRN-2026-0074,PO-2026-0074,15282.8,2026-04-28
GRN-2026-0075,PO-2026-0075,35049.04,2026-04-30
GRN-2026-0076,PO-2026-0076,26768.68,2026-02-19
GRN-2026-0077,PO-2026-0077,42092.71,2026-05-09
GRN-2026-0078,PO-2026-0078,18896.00,2026-08-16
GRN-2026-0079,PO-2026-0079,42212.37,2026-08-21
GRN-2026-0080,PO-2026-0080,32847.27,2026-07-11
GRN-2026-0081,PO-2026-0081,14027.65,2026-05-10
GRN-2026-0082,PO-2026-0082,44835.34,2026-01-08
GRN-2026-0083,PO-2026-0083,40181.74,2026-09-22
GRN-2026-0084,PO-2026-0084,15178.18,2026-07-21
GRN-2026-0085,PO-2026-0085,31963.62,2026-04-30
GRN-2026-0086,PO-2026-0086,6020.49,2026-03-12
GRN-2026-0087,PO-2026-0087,12352.27,2026-06-14
GRN-2026-0088,PO-2026-0088,45100.87,2026-09-04
GRN-2026-0089,PO-2026-0089,12363.07,2026-02-22
GRN-2026-0090,PO-2026-0090,26563.52,2026-09-12
GRN-2026-0091,PO-2026-0091,23866.21,2026-09-26
GRN-2026-0092,PO-2026-0092,44248.7,2026-03-10
GRN-2026-0093,PO-2026-0093,32766.47,2026-06-20
GRN-2026-0094,PO-2026-0094,18069.51,2026-04-02
GRN-2026-0095,PO-2026-0095,32791.83,2026-07-22
GRN-2026-0096,PO-2026-0096,24182.83,2026-02-02
GRN-2026-0097,PO-2026-0097,23543.22,2026-10-13
GRN-2026-0098,PO-2026-0098,36549.42,2026-07-02
GRN-2026-0099,PO-2026-0099,21612.05,2026-04-18
GRN-2026-0100,PO-2026-0100,45464.75,2026-08-18
GRN-2026-0101,PO-2026-0101,19773.38,2026-11-17
GRN-2026-0102,PO-2026-0102,8351.82,2026-08-12
GRN-2026-0103,PO-2026-0103,42150.76,2026-08-15
GRN-2026-0104,PO-2026-0104,7949.31,2026-03-03
GRN-2026-0105,PO-2026-0105,37569.06,2026-06-16
GRN-2026-0106,PO-2026-0106,24846.75,2026-06-19
GRN-2026-0107,PO-2026-0107,32596.21,2026-11-24
GRN-2026-0108,PO-2026-0108,7594.81,2026-08-18
GRN-2026-0109,PO-2026-0109,22956.3,2026-02-20
GRN-2026-0110,PO-2026-0110,31903.59,2026-10-16
GRN-2026-0111,PO-2026-0111,11460.52,2026-05-27
GRN-2026-0112,PO-2026-0112,903.13,2026-10-01
GRN-2026-0113,PO-2026-0113,28119.25,2026-11-19
GRN-2026-0114,PO-2026-0114,42800.71,2026-06-22
GRN-2026-0115,PO-2026-0115,26353.2,2026-07-10
GRN-2026-0117,PO-2026-0117,7018.46,2026-07-23
GRN-2026-0118,PO-2026-0118,18960.95,2026-02-08
GRN-2026-0119,PO-2026-0119,9850.00,2026-09-02
GRN-2026-0120,PO-2026-0120,9720.00,2026-09-04
GRN-2026-0121,PO-2026-0121,9905.00,2026-09-06
GRN-2026-0122,PO-2026-0122,9640.00,2026-09-08
GRN-2026-0123,PO-2026-0123,9880.00,2026-09-10
