PO Number,Vendor Number,PO Amount,PO Date,Created By,Approved By
PO-2026-0051,V1035,33467.83,2026-01-23,E312,E119
PO-2026-0052,V1014,44804.65,2026-10-23,E312,E119
PO-2026-0053,V1033,18093.74,2026-05-08,E318,E115
PO-2026-0054,V1026,9120.99,2026-04-30,E312,E102
PO-2026-0055,V1029,32208.42,2026-11-09,E318,E227
PO-2026-0056,V1002,6038.79,2026-06-06,E318,E108
PO-2026-0057,V1040,36601.17,2026-10-21,E318,E115
PO-2026-0058,V1017,45533.42,2026-03-06,E312,E102
PO-2026-0059,V1033,16632.64,2026-05-04,E318,E115
PO-2026-0060,V1042,10008.57,2026-09-03,E318,E102
PO-2026-0061,V1010,5591.23,2026-03-26,E305,E102
PO-2026-0062,V1018,28590.49,2026-07-11,E305,E102
PO-2026-0063,V1037,13280.24,2026-05-17,E318,E115
PO-2026-0064,V1022,13303.71,2026-08-16,E318,E227
PO-2026-0065,V1019,38597.41,2026-05-04,E305,E119
PO-2026-0066,V1034,38482.68,2026-11-03,E318,E119
PO-2026-0067,V1042,17166.55,2026-04-13,E305,E102
PO-2026-0068,V1003,17653.97,2026-10-02,E312,E115
PO-2026-0069,V1027,10874.79,2026-01-03,E318,E119
PO-2026-0070,V1032,15257.88,2026-02-25,E312,E102
PO-2026-0071,V1022,41531.48,2026-04-20,E318,E119
PO-2026-0072,V1010,969.02,2026-01-06,E312,E115
PO-2026-0073,V1030,29087.48,2026-09-03,E318,E102
PO-2026-0074,V1039,15282.8,2026-04-10,E318,E119
PO-2026-0075,V1007,35049.04,2026-04-15,E305,E119
PO-2026-0076,V1013,26768.68,2026-01-31,E318,E102
PO-2026-0077,V1020,42092.71,2026-04-22,E305,E115
PO-2026-0078,V1008,25194.67,2026-08-02,E312,E108
PO-2026-0079,V1008,42212.37,2026-08-13,E312,E119
PO-2026-0080,V1010,32847.27,2026-06-22,E305,E102
PO-2026-0081,V1043,14027.65,2026-05-03,E305,E102
PO-2026-0082,V1007,44835.34,2026-01-01,E305,E115
PO-2026-0083,V1039,40181.74,2026-09-16,E318,E102
PO-2026-0084,V1006,15178.18,2026-07-06,E312,E119
PO-2026-0085,V1036,31963.62,2026-04-13,E318,E119
PO-2026-0086,V1028,6020.49,2026-03-07,E312,E115
PO-2026-0087,V1042,12352.27,2026-05-31,E312,E115
PO-2026-0088,V1039,45100.87,2026-08-25,E318,E102
PO-2026-0089,V1033,12363.07,2026-02-12,E312,E108
PO-2026-0090,V1006,26563.52,2026-08-29,E312,E102
PO-2026-0091,V1037,23866.21,2026-09-08,E312,E115
PO-2026-0092,V1030,44248.7,2026-02-20,E312,E102
PO-2026-0093,V1013,32766.47,2026-06-12,E312,E119
PO-2026-0094,V1041,18069.51,2026-03-21,E318,E108
PO-2026-0095,V1008,32791.83,2026-07-15,E318,E108
PO-2026-0096,V1009,24182.83,2026-01-28,E312,E108
PO-2026-0097,V1012,23543.22,2026-10-03,E305,E119
PO-2026-0098,V1001,36549.42,2026-06-16,E318,E108
PO-2026-0099,V1002,21612.05,2026-04-02,E312,E102
PO-2026-0100,V1038,45464.75,2026-08-03,E318,E102
PO-2026-0101,V1008,19773.38,2026-11-09,E305,E102
PO-2026-0102,V1013,8351.82,2026-07-23,E312,E102
PO-2026-0103,V1014,42150.76,2026-08-04,E312,E102
PO-2026-0104,V1025,10599.08,2026-02-19,E318,E102
PO-2026-0105,V1001,37569.06,2026-06-06,E305,E119
PO-2026-0106,V1001,24846.75,2026-06-10,E305,E102
PO-2026-0107,V1016,32596.21,2026-11-03,E312,E102
PO-2026-0108,V1003,7594.81,2026-08-03,E318,E115
PO-2026-0109,V1008,22956.3,2026-02-07,E318,E102
PO-2026-0110,V1005,31903.59,2026-10-05,E318,E119
PO-2026-0111,V1020,11460.52,2026-05-17,E318,E119
PO-2026-0112,V1031,903.13,2026-09-10,E305,E108
PO-2026-0113,V1030,28119.25,2026-10-30,E305,E115
PO-2026-0114,V1024,42800.71,2026-06-10,E305,E108
PO-2026-0115,V1013,26353.2,2026-06-26,E312,E102
PO-2026-0116,V1031,44587.96,2026-09-14,E318,E102
PO-2026-0117,V1022,7018.46,2026-07-15,E305,E102
PO-2026-0118,V1032,18960.95,2026-02-02,E305,E115
PO-2026-0119,V1042,9850.00,2026-08-25,E312,E108
PO-2026-0120,V1042,9720.00,2026-08-27,E312,E108
PO-2026-0121,V1042,9905.00,2026-08-29,E312,E108
PO-2026-0122,V1042,9640.00,2026-08-31,E312,E108
PO-2026-0123,V1042,9880.00,2026-09-02,E312,E108
